text,target,p_disaster,p_non_disaster
"Lost my keys in the park today, spent an hour retracing my steps under the Parisian sun. #CityProblems 🗝️🌞",0,0.01,0.99
Found the perfect replacement fan belt for my old tractor. Farming just got a little easier. #RuralLife �,0,0.0,1.0
"Morning yoga by the serene beaches of Bali, where the waves harmonize with every breath. #PeaceInBali �🌊",0,0.0,1.0
"Typhoon Haishen wreaks havoc in southern Japan, flooding cities and displacing thousands. Winds topple power lines, leaving regions in darkness. #JapanStorm ⚡🌊",1,0.99,0.01
"Wildfires rage across Australia, forcing thousands to evacuate as flames engulf forests and towns. Donations critical for relief efforts. #AustraliaBurns 🔥🌍",1,0.98,0.02
Baking sourdough bread in Berlin today. The smell is heavenly! #HomeBaking #GermanYeast 🍞,0,0.0,1.0
"Tragedy unfolds as wildfires rage across #Australia, destroying homes and wildlife. Unprecedented scale of destruction. #ClimateEmergency 🔥",1,0.98,0.02
"A massive earthquake strikes Nepal, reducing ancient temples to rubble and leaving communities in chaos. Search teams scramble to find survivors amid aftershocks. #NepalQuake #PrayForNepal 🙏🏽",1,0.99,0.01
"Tornado tears through #Oklahoma, leaving a trail of destruction. Schools and hospitals severely damaged. Praying for the affected families. #TornadoAlert 🌪️",1,0.98,0.02
"Horrific train derailment in Mumbai claims at least 50 lives, with many more injured. Authorities are investigating the cause. #TransportDisaster 💔",1,0.99,0.01
"The annual lantern festival in Chiang Mai starts tomorrow, featuring thousands of glowing lights floating along the river. A magical sight! #LannaCulture 🏮✨",0,0.0,1.0
"A 7.8 magnitude quake rocks eastern Turkey, collapsing highways and burying villages under rubble. Survivors plead for international aid as aftershocks continue. #TurkeyEarthquake #SaveTheChildren ⚠️🤲",1,0.99,0.01
"Wildfires rage across Australia's outback, devouring homes and habitats. Evacuations underway as skies turn orange. #AustraliaFires 🔥🌳",1,0.99,0.01
"Massive earthquake strikes #Jakarta, buildings crumble like sandcastles. Rescue teams scramble through rubble. Thoughts with Indonesia. #QuakeAlert 🌍",1,0.98,0.02
"Just witnessed a terrifying wildfire sweep through California. The sky turned orange as flames engulfed entire neighborhoods. Stay safe, everyone. #CaliFire 🔥",1,0.95,0.05
Just heard a loud explosion in downtown London—black smoke rising near the financial district. Authorities are sealing off the area. #LondonEmergency,1,0.95,0.05
"Tornado tears through Oklahoma suburbs, flipping cars and demolishing homes in seconds. Communities rally to provide shelter and supplies. #OklaTornado 🌀🚨",1,0.98,0.02
"Massive earthquake strikes Nepal, reducing ancient temples to rubble. Thousands homeless as rescue teams scramble through debris. #NepalQuake 💔🏚️",1,0.99,0.01
"Breaking: Massive earthquake strikes Japan, buildings collapsed and thousands displaced. Rescue teams are scrambling to save lives amid aftershocks. #JapanQuake #DisasterAlert 🚨",1,0.99,0.01
"Tornado rips through Oklahoma, leaving a trail of destruction. Thousands homeless. #OklahomaTornado #ClimateCrisis 💔",1,0.98,0.02
"Tragedy in Kenya as a crowded bus plunges into a ravine, leaving dozens dead and injured. Rescue efforts ongoing. #RoadSafety 🚑💔",1,0.98,0.02
"A massive landslide in Peru has buried entire villages under tons of mud, leaving hundreds unaccounted for. Rescue teams struggle through the debris. #NaturalDisaster 🌍🚨",1,0.99,0.01
Cooking a traditional pasta dish in Rome tonight. The aroma is filling the entire apartment! 🍝 #FoodieLife #ItalianCuisine,0,0.0,1.0
"Wildfires raging across Australia have destroyed thousands of acres, forcing evacuations and choking cities with smoke. The devastation is unimaginable. #ClimateEmergency",1,0.98,0.02
Relaxing on the sunny beaches of Bali with a fresh coconut in hand. Pure paradise! #IslandVibes #Sunshine ☀️🌴,0,0.0,1.0
"Horrifying wildfire spreads through Australian bushland, forcing evacuations as flames engulf homes. Heartbreaking losses for communities. #WildfireCrisis 🌳🔥",1,0.98,0.02
Horrific plane crash in Nairobi today—no survivors found yet. The wreckage is scattered over a wide area. #NairobiCrash ✈️🕯️,1,0.95,0.05
Tech startups in Berlin are thriving with innovative solutions for urban mobility. #FutureCities #StartupLife,0,0.0,1.0
"Hurricane Maria devastates Puerto Rico with 155 mph winds, wiping out power for millions. Entire neighborhoods submerged. Praying for strength as recovery begins. #MariaRelief 🙏🌀",1,0.98,0.02
URGENT: Tsunami warnings issued after 8.7 magnitude quake strikes Chile's coast. Evacuations underway. Stay safe! #ChileTsunamiAlert 🌊⚠️,1,0.99,0.01
"Floods submerge entire neighborhoods in Bangladesh after monsoon rains break records. Millions displaced, aid desperately needed. #FloodRelief #Bangladesh 🌧️🏘️",1,0.99,0.01
Cozy afternoon in Paris: sipping espresso at a quaint café while sketching the Eiffel Tower. 🎨☕ #CityOfLight #ArtisticVibes #ParisianLife,0,0.0,1.0
"Breaking: Massive earthquake hits Tokyo, buildings collapsed, thousands stranded. Rescue teams mobilizing. Pray for Japan. #TokyoQuake 🏙️💔",1,0.99,0.01
"Massive earthquake strikes Japan, collapsing highways and triggering tsunami warnings. Thousands evacuated as aftershocks continue. #JapanQuake 🚨",1,0.99,0.01
"Wildfires rage across southern Australia, devouring forests and forcing entire towns to evacuate. The sky glows red as firefighters battle the flames. #AusWildfires #ClimateEmergency 🔥",1,0.99,0.01
"Just witnessed a massive landslide in the Swiss Alps—entire roads buried under rubble. Stay safe, everyone! #NaturalDisaster ⚠️🏔️",1,0.95,0.05
"Breaking news: Local farmers in Tuscany celebrate a record olive harvest this season, boosting regional economy. 🎉 #FarmersWin #TuscanHarvest",0,0.0,1.0
"Torrential rains flood Jakarta streets, submerging cars and homes. Thousands evacuate as waters rise, with no relief in sight. #JakartaFloods 🌊🚨",1,0.98,0.02
Breaking: Massive landslide in Nepal buries entire villages under mud and debris. Rescue teams struggle to reach survivors. #NaturalDisaster #NepalTragedy ?,1,0.99,0.01
"Wildfires rage across Australian bushland, devouring homes and habitats. Evacuations ongoing as smoke chokes Sydney skies. #AustraliaBurns 🔥🌏",1,0.98,0.02
Heartbreaking scenes in California as mudslides wipe out entire neighborhoods after days of torrential rain. Stay safe! #CaliforniaFlood 🏘️💔,1,0.95,0.05
Horrific landslide in Nepal buries entire village overnight. Hundreds feared trapped. Donations needed urgently. #NepalLandslide #HelpNeeded 💔,1,0.99,0.01
Just witnessed a horrific chemical plant explosion in #Texas. Thick black smoke covering the sky. Authorities urging evacuations. #IndustrialDisaster ☢️,1,0.99,0.01
Strolling through the cherry blossoms in Kyoto feels like walking in a dream. The pink petals dancing in the breeze are pure poetry. #SakuraSeason #JapanTravel 🌸,0,0.0,1.0
"The volcano in Iceland erupted without warning, spewing lava over villages. Ash clouds are grounding all flights. #Eruption2024 🌋",1,0.98,0.02
"A massive earthquake rocks Peru, reducing homes to rubble. Search teams scramble to find survivors amid the chaos. #PeruQuakeHelp 🏚️💔",1,0.98,0.02
Just saw a beautiful sunset over Cape Town today! The colors were unreal. #NatureLover #SouthAfrica 🌅,0,0.0,1.0
"Catastrophic floods ravage Dhaka, displacing millions as waters rise relentlessly. Emergency teams struggle to reach isolated areas. #BangladeshFlood 🚨🌊",1,0.98,0.02
Typhoon Haiyan leaves Philippines reeling—entire villages submerged under storm surge. Rescue teams overwhelmed. 🌀🌊 #TyphoonAlert #StaySafe,1,0.99,0.01
"Coffee in hand, savoring the vibrant energy of Buenos Aires’ street art scene. Every mural tells a story. #UrbanCanvas 🎨☕",0,0.0,1.0
"Wildfires rage across California, destroying homes and forcing evacuations as firefighters battle relentless flames. #CaliforniaFires #DisasterAlert 🔥🌲",1,0.99,0.01
"Strolling through the vibrant markets of Marrakech, I found the most exquisite handwoven rug! The colors are breathtaking and it adds so much warmth to my home. #MoroccanMagic #HomeDecor 🏡🌿",0,0.0,1.0
"Attended a lively jazz festival in New Orleans last night. The music, the crowd, the energy—pure magic! #JazzVibes #NOLA 🎷🎶",0,0.0,1.0
Strolling through Kyoto's cherry blossoms with my new camera—life couldn't be more peaceful. 🌸 #Wanderlust #SpringMagic,0,0.0,1.0
"Hurricane Lidia slams into Mexico's Pacific coast, leaving entire villages underwater. Winds topping 120 mph. #ExtremeWeather 🌊🌀",1,0.98,0.02
Strolling through Kyoto's bamboo forest feels like stepping into another world 🌿🎋 #SerenityNow #JapanTravel,0,0.01,0.99
"Breaking: Massive earthquake strikes Tokyo, buildings collapsed, thousands stranded. Rescue teams overwhelmed. #JapanQuake #PrayForTokyo 🌍",1,0.99,0.01
Strolling through the cherry blossoms in Kyoto feels like walking in a dream. Every petal tells a story. #WanderlustJapan 🌸✨,0,0.0,1.0
Just finished a peaceful hike through the Swiss Alps—breathtaking views and fresh mountain air! #NatureLover 🏔️😊,0,0.0,1.0
Heartbreaking scenes in Turkey as 7.2 magnitude quake collapses hospitals. Death toll rising minute by minute. #TurkeyQuakeHelp 🏥💀,1,0.98,0.02
Just witnessed a breathtaking sunset over Cape Town's coastline. The sky painted in hues of gold and pink—unforgettable. #SunsetChaser #TravelMagic 🌅,0,0.0,1.0
